ID,Title,Author,Genre,Published_Date
1,Synchronized directional emulation,Kerry Warren,Fantasy,12/03/72
2,Right-sized systematic benchmark,Michael Johnson,Romance,24/04/60
3,Automated uniform neural-net,Michael Johnson,Science Fiction,19/11/19
4,Open-source upward-trending open system,Michael Johnson,Mystery,30/07/09
5,Realigned 24hour knowledgebase,Kerry Warren,Mystery,05/06/89
6,Managed 5thgeneration forecast,Kerry Warren,Mystery,29/06/26
7,Devolved object-oriented extranet,Kerry Warren,Horror,05/01/43
8,Right-sized intangible time-frame,Michael Johnson,Thriller,14/09/30
9,Synergistic encompassing infrastructure,Michael Johnson,Thriller,04/05/24
10,Pre-emptive responsive time-frame,Danielle Lee,Romance,30/12/71
11,Cloned bottom-line instruction set,Danielle Lee,Mystery,27/07/47
12,Networked leadingedge service-desk,Kerry Warren,Romance,09/02/83
13,Ameliorated uniform projection,Kerry Warren,Horror,10/11/87
14,Object-based zero-defect data-warehouse,Danielle Lee,Science Fiction,25/11/67
15,Re-engineered tertiary success,Danielle Lee,Horror,02/03/54
16,Virtual 24/7 synergy,Michael Johnson,Horror,28/12/89
17,Realigned explicit flexibility,Michael Johnson,Fantasy,03/10/91
18,Implemented homogeneous matrices,Kerry Warren,Mystery,22/08/88
19,User-centric real-time time-frame,Andrew Adams,Horror,07/09/81
20,Inverse 5thgeneration monitoring,Danielle Lee,Thriller,04/06/54
21,Face-to-face radical functionalities,Kerry Warren,Thriller,03/10/56
22,Quality-focused disintermediate function,Michael Johnson,Horror,14/10/20
23,Ameliorated analyzing Graphic Interface,Michael Johnson,Romance,28/02/90
24,Innovative tertiary strategy,Danielle Lee,Romance,04/09/46
25,Optimized real-time complexity,Danielle Lee,Mystery,23/08/27
26,Re-contextualized asymmetric knowledge user,Danielle Lee,Romance,11/06/83
27,Progressive user-facing data-warehouse,Andrew Adams,Mystery,03/11/62
28,Re-contextualized discrete framework,Andrew Adams,Science Fiction,26/05/06
29,Fundamental 6thgeneration emulation,Danielle Lee,Thriller,26/04/46
30,Grass-roots responsive website,Michael Johnson,Thriller,26/01/01
31,Multi-lateral radical info-mediaries,Andrew Adams,Romance,30/01/42
